date,year,quarter,gap_viog,gap_inv_viog,gap_bhp,gap_cf,gap_bk,gap_bw,gap_kalman,source
1998-07-01,1998,3,0.014170671601084095,0.010841952362776297,0.010889353020262504,0.005953625011779096,0.013771370661256555,0.007317879842709374,0.02251835703587801,DANE Cuentas Nacionales
1998-10-01,1998,4,-0.011529465630900404,-0.013133540413752698,-0.014194070328830577,-0.015878219022519957,-0.008676325097532356,-0.017546147727779626,-0.006527546476787549,DANE Cuentas Nacionales
1999-01-01,1999,1,-0.02516900927845711,-0.026435086758432647,-0.024603616454966115,-0.030869938044224554,-0.02542223926557341,-0.027580992281290406,-0.0212317717676882,DANE Cuentas Nacionales
1999-04-01,1999,2,-0.03314559928656635,-0.03308269790606744,-0.032089447751941336,-0.03418016250739697,-0.03172412391712598,-0.03446091903115267,-0.033139366162041384,DANE Cuentas Nacionales
1999-07-01,1999,3,-0.0223442826749487,-0.022585192464758208,-0.01665978559338832,-0.02686093614964591,-0.028496178825619722,-0.01816567464779517,-0.022113472986582394,DANE Cuentas Nacionales
1999-10-01,1999,4,-0.020729992593842894,-0.019173037196157594,-0.01713561321343171,-0.016092154307104423,-0.02145357196977926,-0.017547532352626405,-0.02677470135881954,DANE Cuentas Nacionales
2000-01-01,2000,1,-0.0105543286356653,-0.008626238763168814,-0.004217773438867312,-0.007008627483230612,-0.014678936091870654,-0.003368487629058947,-0.017764238333326077,DANE Cuentas Nacionales
2000-04-01,2000,2,-0.010262224838726297,-0.007016201590015925,-0.004434018903557657,-0.0021818137977867025,-0.011342067574757309,-0.002246002076230269,-0.02150043942916824,DANE Cuentas Nacionales
2000-07-01,2000,3,-0.007182795112223417,-0.003507148225688539,0.0011143825442605504,-6.611899307884528e-05,-0.011698162707267201,0.004626956413696703,-0.019061753562356287,DANE Cuentas Nacionales
2000-10-01,2000,4,-0.00947738951330912,-0.004706615982941642,-0.0010652411756613134,0.0018212169619165053,-0.01388752543099514,0.003666438659688964,-0.02388680518070352,DANE Cuentas Nacionales
2001-01-01,2001,1,-0.008725648865025804,-0.0032437997319210155,0.0008056392574609106,0.004605294881271149,-0.015378643928954716,0.006573288170681479,-0.02418865643626056,DANE Cuentas Nacionales
2001-04-01,2001,2,-0.01045243143811092,-0.003874455453754422,-0.0017283396446927668,0.007595614745362411,-0.01521815533935289,0.004826479424636432,-0.02839471812032457,DANE Cuentas Nacionales
2001-07-01,2001,3,-0.007136640325308363,-0.00037400568355039354,0.002974469687238468,0.009474624269184773,-0.013456401740089774,0.010019595179512564,-0.024870085223406946,DANE Cuentas Nacionales
2001-10-01,2001,4,-0.005555826021996779,0.0012998547044418274,0.005116387563226965,0.0099814764315731,-0.011694053098855406,0.012321198870557382,-0.023387811401232028,DANE Cuentas Nacionales
2002-01-01,2002,1,-0.016932665661400392,-0.008380995316290552,-0.01184360342512214,0.009941580820571616,-0.011627962432630312,-0.0048196897565961905,-0.04047664820138763,DANE Cuentas Nacionales
2002-04-01,2002,2,-0.0006091518727888712,0.005473417991742835,0.013255667112380465,0.009371757220415944,-0.012760645937101245,0.0197756133200766,-0.015083196420956568,DANE Cuentas Nacionales
2002-07-01,2002,3,-0.007937050569175597,-0.0011338318431093342,0.00281292776776354,0.008847186424807418,-0.015235262140787853,0.008518311520926858,-0.02469617146786618,DANE Cuentas Nacionales
2002-10-01,2002,4,-0.013654872049253086,-0.006410468283474913,-0.005220620542585763,0.007365196439710786,-0.01694641782584405,-0.0005876691507946674,-0.03144234867750839,DANE Cuentas Nacionales
2003-01-01,2003,1,-0.015298773844371283,-0.008292561019841216,-0.00749393157015632,0.004838771782605278,-0.01689782704625209,-0.004120996155711154,-0.032023326492883086,DANE Cuentas Nacionales
2003-04-01,2003,2,-0.01076400489215068,-0.004816444553371824,-0.0009390983019486043,0.002215378027237591,-0.015384552325540923,0.0010561671958608798,-0.023415140273051804,DANE Cuentas Nacionales
2003-07-01,2003,3,-0.00958587012031309,-0.004339218179708837,-0.00014417038467584575,0.0006964313697110924,-0.013412775360238882,0.0004184079961468967,-0.02022619542904991,DANE Cuentas Nacionales
2003-10-01,2003,4,-0.00822352095396539,-0.0037222216151118204,0.0005045240874945733,0.0004568885544511403,-0.011785704196016766,-0.0003558899574223062,-0.016905699659623963,DANE Cuentas Nacionales
2004-01-01,2004,1,-0.0035092886311218763,-0.0002425156238281545,0.006149047566207599,0.0004294018255990295,-0.010652341341609528,0.003940543895495807,-0.00837481087385683,DANE Cuentas Nacionales
2004-04-01,2004,2,-0.011682712114945204,-0.008405889538932954,-0.0076358722673735,-0.0008213711707369953,-0.010036707653981125,-0.011053568580384976,-0.019082007052881877,DANE Cuentas Nacionales
2004-07-01,2004,3,-0.012317935585752338,-0.010018983560476258,-0.009567636513263977,-0.003830081307174993,-0.00940489274496592,-0.013985156437982482,-0.01786695996770149,DANE Cuentas Nacionales
2004-10-01,2004,4,0.000184427504294149,-0.0001535176166846952,0.00876245752063376,-0.007579743278812501,-0.0091816725577889,0.0036034671610636337,0.00360669766589794,DANE Cuentas Nacionales
2005-01-01,2005,1,-0.009965462090816501,-0.010194164513146475,-0.007282435687345767,-0.01103120405713831,-0.01008410143550087,-0.012901528315421018,-0.009266733817616668,DANE Cuentas Nacionales
2005-04-01,2005,2,-0.003565892123729597,-0.005261452669314437,0.0016694318567118671,-0.012863159574061811,-0.010881275321906969,-0.0040982739511115085,0.002734900829555187,DANE Cuentas Nacionales
2005-07-01,2005,3,-0.013942646806876624,-0.015207597244547344,-0.015362097583563994,-0.013783911370227386,-0.011861819553338648,-0.02096077675787633,-0.011361486385427,DANE Cuentas Nacionales
2005-10-01,2005,4,-0.010414060151937576,-0.012451571208728751,-0.011624056859732335,-0.013590885207817038,-0.011223089724760271,-0.016737354546670247,-0.004946208750707726,DANE Cuentas Nacionales
2006-01-01,2006,1,-0.0018891765569950536,-0.004982659246303811,-0.001227715827036846,-0.012313568071705916,-0.007620811360453672,-0.0055791452514402096,0.007819782759975524,DANE Cuentas Nacionales
2006-04-01,2006,2,-0.000369382140235075,-0.0035943585721955884,-0.002619513799366757,-0.009414171199580323,-0.0018415333385899402,-0.00600260418796239,0.008454317366824782,DANE Cuentas Nacionales
2006-07-01,2006,3,0.006422009502498938,0.0028013099360642,0.0036178980115941783,-0.004173428277269409,0.0042747581019995096,0.0013297748389220487,0.016273050658853094,DANE Cuentas Nacionales
2006-10-01,2006,4,0.010752745332528235,0.007188718478413847,0.006183714700300769,0.0027029502008666384,0.009402538419328366,0.005025549278419916,0.019925250627306212,DANE Cuentas Nacionales
2007-01-01,2007,1,0.01686802543119903,0.013332400317198179,0.012087878785122186,0.009642325071807178,0.013712106174034844,0.012003469736647787,0.02636209522142785,DANE Cuentas Nacionales
2007-04-01,2007,2,0.018937104011707007,0.015830996987869383,0.01241475435707784,0.015208416234035127,0.018074524722543117,0.013262270936991172,0.02664951152644157,DANE Cuentas Nacionales
2007-07-01,2007,3,0.026571173504761347,0.023278244470510856,0.02224956099794717,0.018622079012567738,0.02247498537189152,0.023818395830446093,0.03584751073499248,DANE Cuentas Nacionales
2007-10-01,2007,4,0.028333130433564335,0.02535165037809861,0.024110313016150187,0.020330185393470757,0.025736137280810922,0.02613867961296279,0.0365358589307796,DANE Cuentas Nacionales
2008-01-01,2008,1,0.022903870485489364,0.020808139361085054,0.016877523350494528,0.020230333183148375,0.024723377298711213,0.019088843983107395,0.027662899775959815,DANE Cuentas Nacionales
2008-04-01,2008,2,0.020191078793722284,0.01840126074488957,0.016709756195353975,0.016968130034108242,0.01766553885977551,0.018852537275167336,0.025458118043012234,DANE Cuentas Nacionales
2008-07-01,2008,3,0.01571100374711243,0.013956034117311944,0.016244854874035042,0.009767419110218611,0.006132845838708434,0.018119132232358837,0.022710440110133234,DANE Cuentas Nacionales
2008-10-01,2008,4,-0.0060971579442661294,-0.006215181279214832,-0.009874207935316903,-0.0005577605668989349,-0.006264708232489369,-0.008389956435642887,-0.005744467844008838,DANE Cuentas Nacionales
2009-01-01,2009,1,-0.014270583929635094,-0.01424499820156555,-0.015755748896072674,-0.011149268546715163,-0.015832096424588826,-0.01467784687918261,-0.01394082936208818,DANE Cuentas Nacionales
2009-04-01,2009,2,-0.01656867796353012,-0.016626948593339463,-0.015004876801025802,-0.0176834539087114,-0.02093601790015498,-0.014265426104786982,-0.015321326375357103,DANE Cuentas Nacionales
2009-07-01,2009,3,-0.017160076600635676,-0.016907464652829773,-0.014442366498856885,-0.018246765361604744,-0.022136939049437032,-0.01391891101017606,-0.01656173088500701,DANE Cuentas Nacionales
2009-10-01,2009,4,-0.018163735799793912,-0.0172345097620763,-0.01649152854508884,-0.014512617783147164,-0.02127355008403775,-0.01603312576872362,-0.019985435378428562,DANE Cuentas Nacionales
2010-01-01,2010,1,-0.017739771179956065,-0.016299376706928825,-0.016791795278857435,-0.010331872910079198,-0.020147900938265906,-0.01624194310164917,-0.02118387002470179,DANE Cuentas Nacionales
2010-04-01,2010,2,-0.01435383073729568,-0.012983435830342671,-0.012094407378993921,-0.008557747810828076,-0.01923015527445493,-0.011315595384207455,-0.01689065008677204,DANE Cuentas Nacionales
2010-07-01,2010,3,-0.016427607952483214,-0.014815256491568007,-0.015988769805213465,-0.008473583843555232,-0.01758160708369516,-0.014885332184002564,-0.020687132465578628,DANE Cuentas Nacionales
2010-10-01,2010,4,-0.008891265218666788,-0.007845571520505246,-0.006690775519910375,-0.0061913184030899515,-0.012670598853162574,-0.005221035210562164,-0.010866397279704287,DANE Cuentas Nacionales
2011-01-01,2011,1,0.0001415441153600483,0.0008698771793049787,0.0025583800064392648,0.0008925078860961833,-0.0045138396491299915,0.004364611047858347,-0.0007087659175333272,DANE Cuentas Nacionales
2011-04-01,2011,2,0.005657231798965157,0.00664958531941906,0.0050060125490762886,0.011262838605924586,0.004774593341094757,0.0070485024554596265,0.0029749280595368077,DANE Cuentas Nacionales
