t,PIB,Potential_PIB,bkt_PIB,cft_PIB,bwt_PIB,hpt_PIB,kalmant_PIB,lnPIB,lnPotential_PIB,lnbkt_PIB,lncft_PIB,lnbwt_PIB,lnhpt_PIB,lnkalmant_PIB,gap_bk,gap_cf,gap_bw,gap_hp,gap_kalman,gap_potential,Variation
1955Q4,2858.845,3009.207106913815,2874.554353099176,2897.6126896690307,2910.1412223251036,2882.493210118697,2963.0077407748126,7.958172976092233,8.009431903411915,7.96365293359885,7.971642466491809,7.975956888996622,7.966410896587516,7.993960160048996,-0.005479957506617339,-0.01346949039957579,-0.017783912904389076,-0.008237920495282935,-0.035787183956762725,-0.05125892731968218,0.005240615047921171
1956Q1,2845.192,3029.341859722423,2917.520887725585,2940.4275575457204,2938.454668821862,2906.835556127576,2933.7982876412443,7.953385831102279,8.016100666897936,7.978489523595437,7.986310277495779,7.985639099294905,7.974820330719265,7.9840532063876815,-0.02510369249315758,-0.03292444639349945,-0.032253268192625306,-0.021434499616985292,-0.030667375285402088,-0.0627148357956564,-0.017819250203068182
1956Q2,2848.305,3049.200365316192,2947.951520830493,2973.5301067222563,2965.1830237757968,2930.6745678524208,2919.1730534180947,7.954479359494482,8.022634659921337,7.988865808408235,7.99750511410708,7.994694037612998,7.982987903448708,7.97905565426917,-0.034386448913752865,-0.04302575461259739,-0.040214678118515756,-0.028508543954226084,-0.024576294774687923,-0.06815530042685491,-0.024287768660382403
1956Q3,2880.482,3070.019198846718,2966.1483713611938,2997.4204112564194,2990.3063029304462,2954.081503197296,2931.8668114210914,7.965712920237794,8.029439094257688,7.995019545506458,8.00550733484155,8.003131103589517,7.990943053501937,7.98339463612929,-0.029306625268663566,-0.039794414603755435,-0.03741818335172287,-0.025230133264142474,-0.01768171589149592,-0.06372617401989356,-0.007683311027168682
1956Q4,2936.852,3091.975551467135,2977.489086590801,3013.138570812771,3013.8439410841647,2977.076139086361,2967.488303835525,7.985093538372913,8.036565502647312,7.998835635929976,8.01073752904944,8.010971599838005,7.9986969364651275,7.9954711850558455,-0.013742097557062571,-0.02564399067652623,-0.025878061465091307,-0.013603398092214114,-0.010377646682932173,-0.051471964274398374,0.02728619424977574
1957Q1,3020.746,3115.645863044004,3006.9325298463486,3043.776743003422,3035.8528729488,2999.6322527542734,3029.8794274962347,8.01325909973208,8.044191749390652,8.00867574504021,8.020854372994657,8.018247676520703,8.006244977721167,8.016278104806123,0.004583354691870767,-0.007595273262577251,-0.004988576788623078,0.007014122010913226,-0.0030190050740426244,-0.03093264965857223,0.061701987071522746
1957Q2,3069.91,3141.002523135891,3014.4551021955344,3050.1109237629107,3056.424833805814,3021.6984813487625,3057.3156579014767,8.02940352419061,8.052297302828961,8.011174363871135,8.022933237386997,8.025001156922254,8.013574363317735,8.025292573969862,0.018229160319474857,0.006470286803612169,0.0044023672683550785,0.015829160872874226,0.004110950220747256,-0.022893778638351847,0.07780241231188367
1957Q3,3111.379,3167.611044609475,3041.059714610081,3073.943346521065,3075.6830211693414,3043.2366581095853,3077.3670032581044,8.04282131525697,8.06073296907392,8.019961323989037,8.03071649403966,8.031282276280944,8.020676918187295,8.031829641286631,0.02285999126793392,0.012104821217310047,0.011539038976026816,0.022144397069675748,0.010991673970339733,-0.017911653816948814,0.08015915391937867
1957Q4,3130.068,3195.403674038452,3070.7438966289415,3099.9560822759136,3093.778265856117,3064.238748475657,3075.475837963087,8.048810008537826,8.069468704382649,8.029675122834046,8.039143223365114,8.037148362713605,8.027554448345612,8.031214912322028,0.019134885703779858,0.009666785172711911,0.011661645824220912,0.021255560192214418,0.017595096215798023,-0.020658695844822716,0.06579017260658704
1958Q1,3117.922,3223.285962767317,3082.0847018600643,3106.253472340144,3110.8848619123874,3084.7393068495726,3044.093914211608,8.044922033268895,8.078156603528733,8.033361498260387,8.041172607700297,8.042662486219946,8.034222429316543,8.020958570743373,0.011560535008507955,0.0037494255685981415,0.002259547048948818,0.010699603952351922,0.02396346252552206,-0.03323457025983778,0.03216953692895719
1958Q2,3143.694,3252.084237192734,3125.3513935714336,3143.143175294932,3127.196200263024,3104.814030916131,3052.4478803005586,8.053153820568122,8.087051373528016,8.04730200179179,8.052978589465067,8.047892099417577,8.04070909914914,8.02369913140848,0.005851818776331896,0.00017523110305539547,0.005261721150544574,0.012444721418981786,0.029454689159642555,-0.033897552959894384,0.02403458081833021
1958Q3,3140.874,3281.334502919648,3121.943289641943,3133.036370232355,3142.9203414207254,3124.5593575433477,3034.456629456809,8.052256384120854,8.096005479279073,8.046210936157655,8.049757899640749,8.05290769171683,8.04704854664215,8.01778765268961,0.00604544796319928,0.0024984844801050343,-0.0006513075959766468,0.005207837478703681,0.03446873143124485,-0.04374909515821912,0.009479719442729406
1958Q4,3192.57,3312.233767691655,3157.0660749022013,3163.1897711860734,3158.275648959775,3144.096023579918,3073.6017235364384,8.06858151405629,8.105378095046861,8.057398417988066,8.059336218719316,8.057781476934124,8.053281694933823,8.030605352769093,0.01118309606822443,0.00924529533697438,0.010800037122166373,0.01529981912246825,0.037976161287197385,-0.03679658099057015,0.019968256280694208
