Date,inflation_gap,inflation_gap_change,inflation_gap_change_lag1,inflation_gap_change_lag2,unemployment_current,unemployment_lag1,unemployment_lag2,unemployment_hysteresis_24m_avg,icu_current,icu_lag1,oil_shock,expected_inflation_term,expected_inflation_fisher_12m_ahead,expected_inflation_current_period,nairu_estimate,nairu_se,nairu_ci_lower_90,nairu_ci_upper_90,nairu_ci_lower_95,nairu_ci_upper_95,naicu_estimate,naicu_se,naicu_ci_lower_90,naicu_ci_upper_90,naicu_ci_lower_95,naicu_ci_upper_95,unemployment_gap,icu_gap
2011-04-01,-0.8300000000000001,0.04999999999999982,0.050000000000000266,0.029999999999999805,11.1,11.0,11.8,12.0375,75.9,77.1,7.084625285285107,0.32710251986237626,2.903391041767378,2.4471025198623764,11.992410756796977,0.10840208962321073,11.814105186511119,12.170716327082834,11.7799465652866,12.204874948307353,76.31298832666597,0.21695909412373054,75.95612237379645,76.6698542795355,75.88775631606502,76.73822033726692,-0.892410756796977,-0.4129883266659675
2011-05-01,-0.8300000000000001,0.0,0.04999999999999982,0.050000000000000266,11.5,11.1,11.0,12.0,78.3,75.9,-7.215450053448258,-0.5807152038665278,2.8136472207654473,1.5892847961334722,11.993046227765241,0.1084020892560359,11.814740658083332,12.17135179744715,11.780582036974515,12.205510418555967,76.26090281166752,0.21695909390610083,75.90403685915597,76.61776876417908,75.83567080149312,76.68613482184192,-0.493046227765241,2.0390971883324767
2011-06-01,-0.6800000000000002,0.1499999999999999,0.0,0.04999999999999982,11.3,11.5,11.1,11.987499999999999,77.2,78.3,-0.5428523356228787,-0.5388561249826509,3.0203927064387903,1.631143875017349,11.992941498640464,0.10840208897583835,11.81463592941944,12.171247067861488,11.780477308398915,12.205405688882013,76.52100778231673,0.2169590937408376,76.16414183007701,76.87787373455645,76.09577577246624,76.94623979216722,-0.6929414986404634,0.6789922176832732
2011-07-01,-0.6099999999999999,0.07000000000000028,0.1499999999999999,0.0,11.1,11.3,11.5,11.966666666666667,76.7,77.2,2.473884961840511,-0.38017050106134986,3.1850302289529564,1.93982949893865,11.989832862240482,0.10840208876201471,11.811527293371165,12.168138431109798,11.777368672418019,12.202297052062944,76.60758230122953,0.21695909361534024,76.25071634919622,76.96444825326283,76.18235029162501,77.03281431083404,-0.8898328622404819,0.09241769877047545
2011-08-01,-0.7599999999999998,-0.1499999999999999,0.07000000000000028,0.1499999999999999,10.8,11.1,11.3,11.920833333333333,78.3,76.7,-6.026747972721136,-0.29208700988600755,3.1338881823898435,2.0979129901139926,11.979893776112375,0.10840208859884216,11.801588207511454,12.158199344713296,11.767429586609724,12.192357965615026,76.62303457116222,0.21695909352004014,76.26616861928568,76.97990052303876,76.19780256174448,77.04826658057996,-1.1798937761123742,1.676965428837775
2011-09-01,-0.69,0.06999999999999984,-0.1499999999999999,0.07000000000000028,10.5,10.8,11.1,11.862499999999999,78.0,78.3,-0.01918469028057146,0.13300076331876642,2.803945881466574,2.3730007633187666,11.965200073553586,0.10840208847432235,11.786894505157482,12.14350564194969,11.752735884294989,12.177664262812183,76.83797864852552,0.21695909344767114,76.48111269676802,77.19484460028302,76.41274663924962,77.26321065780142,-1.4652000735535857,1.162021351474479
2011-10-01,-0.5899999999999999,0.10000000000000009,0.06999999999999984,-0.1499999999999999,10.6,10.5,10.8,11.762500000000001,79.7,78.0,-1.0227578387546288,-0.2510291908451081,3.4168630713064196,2.058970809154892,11.939837244205064,0.1084020883792991,11.76153167596526,12.118142812444868,11.72737305513271,12.152301433277419,76.98647568040532,0.21695909339271555,76.6296097287382,77.34334163207244,76.56124367123714,77.4117076895735,-1.3398372442050643,2.7135243195946828
2011-11-01,-0.43000000000000016,0.1599999999999997,0.10000000000000009,0.06999999999999984,10.5,10.6,10.5,11.662500000000001,76.4,79.7,1.5548582873908146,-0.2368176138467284,3.749754468670208,2.1731823861532718,11.905403995924882,0.10840208830678523,11.727098427804352,12.083709564045412,11.692939806994652,12.117868184855112,77.33315617022191,0.21695909335098335,76.97629021862345,77.69002212182038,76.90792416113553,77.7583881793083,-1.4054039959248819,-0.9331561702219062
2011-12-01,-0.2999999999999998,0.13000000000000034,0.1599999999999997,0.10000000000000009,10.7,10.5,10.6,11.579166666666667,75.0,76.4,-2.5375569382908303,0.17538953953573655,3.723534901999326,2.7453895395357364,11.864659310969147,0.10840208825144865,11.686353742939637,12.042964878998657,11.652195122147376,12.077123499790918,77.21193277386074,0.21695909331929264,76.8550668223144,77.56879872540708,76.78670076483645,77.63716478288502,-1.1646593109691477,-2.211932773860738
2012-01-01,-0.2799999999999998,0.020000000000000018,0.13000000000000034,0.1599999999999997,10.7,10.7,10.5,11.520833333333334,75.1,75.0,3.403563163321177,0.8222682098688727,3.5726747084039445,3.522268209868873,11.821119386045416,0.10840208820922034,11.642813818085367,11.999424954005464,11.60865519730641,12.033583574784421,76.92817472833872,0.2169590932952273,76.57130877683196,77.28504067984548,76.50294271936161,77.35340673731582,-1.1211193860454163,-1.8281747283387233
2012-02-01,-0.27,0.009999999999999787,0.020000000000000018,0.13000000000000034,10.7,10.7,10.7,11.4375,77.8,75.1,6.6030144708542515,0.8074092913019526,3.749093308660978,3.527409291301953,11.772385422938509,0.10840208817699519,11.594079855031465,11.950690990845553,11.559921234262664,11.984849611614354,76.69418576650453,0.2169590932769525,76.33731981502784,77.05105171798122,76.26895375756324,77.11941777544583,-1.0723854229385097,1.1058142334954653
2012-03-01,-0.2599999999999998,0.010000000000000231,0.009999999999999787,0.020000000000000018,10.5,10.7,10.7,11.404166666666667,76.4,77.8,4.503587900184325,0.4627345801459506,3.341569559899904,3.1927345801459506,11.725861177452916,0.10840208815240363,11.547555609586322,11.904166745319511,11.513396988825269,11.938325366080564,76.83619540979993,0.21695909326307491,76.47932945834606,77.1930613612538,76.41096340088583,77.26142741871402,-1.2258611774529165,-0.43619540979992166
2012-04-01,-0.1299999999999999,0.1299999999999999,0.010000000000000231,0.009999999999999787,10.9,10.5,10.7,11.341666666666667,75.0,76.4,-3.312573326758539,0.16339104176737784,2.6450281922076213,2.903391041767378,11.678019525040227,0.10840208813363739,11.4997139572045,11.856325092875954,11.465555336449361,11.890483713631093,76.77812786330328,0.2169590932525365,76.42126191186675,77.13499381473981,76.35289585440984,77.20335987219673,-0.7780195250402269,-1.7781278633032827
2012-05-01,-0.14000000000000012,-0.010000000000000231,0.1299999999999999,0.010000000000000231,10.9,10.9,10.5,11.283333333333333,76.0,75.0,-8.843627973986035,-0.05635277923455284,2.597394181437118,2.8136472207654473,11.627945957291534,0.10840208811931652,11.449640389479363,11.806251525103704,11.415481768728736,11.840410145854332,76.55039368125007,0.2169590932445338,76.1935277298267,76.90725963267344,76.12516167237231,76.97562569012783,-0.7279459572915332,-0.5503936812500712
