iso3,Country,year,avh,ccon,cda,cgdpe,cgdpo,ck,cn,cor_exp,csh_c,csh_g,csh_i,csh_m,csh_r,csh_x,ctfp,cwtfp,delta,emp,hc,irr,labsh,pl_c,pl_con,pl_da,pl_g,pl_gdpo,pl_i,pl_k,pl_m,pl_n,pl_x,pop,rconna,rdana,rgdpe,rgdpna,rgdpo,rkna,rnna,rtfpna,rwtfpna,xr
USA,United States,1954,2030.68,2492735,3194806,3196945,3193499.75,1,12144666,,0.639230012893677,0.141335234045982,0.219843730330467,-0.0385523252189159,-0.003399463603273,0.0415427982807159,1,1,0.0318604595959187,65.5197067260742,2.63474249839783,0.0792563110589981,0.637051999568939,0.117341395072388,0.122908599674702,0.122040249407291,0.148087899425648,0.12217190861702,0.118957146758222,1,0.0813018828630447,0.0946017876267433,0.0874144285917282,165.207878206838,2793808.75,3261871.25,3132158.75,3171575.5,3160244.5,0.102432027459145,12143445,0.636467099189758,0.618935286998749,1
USA,United States,1955,2038.46,2625117.25,3424089.5,3427429,3422335.5,1,12569526,,0.636060178279877,0.13099417090416,0.233458176255226,-0.0399867743253708,-0.0032874813769012,0.0427617430686951,1,1,0.0319540724158287,67.2933807373047,2.64778447151184,0.0867874845862389,0.626844048500061,0.118664480019117,0.124427884817123,0.124049618840218,0.152412874619456,0.124234244227409,0.122806781412368,1,0.0816933810710907,0.0964623987674713,0.0887736231088638,168.15175637134,2940089.25,3496569,3368955.5,3397452,3397287.25,0.106222711503506,12568343,0.657824873924255,0.640142381191254,1
USA,United States,1956,2023.37,2666356.5,3480982.5,3497303.5,3493601.25,1,12989804,,0.635256588459015,0.12795490026474,0.233176589012146,-0.0418141894042492,-0.0027926869224757,0.048218846321106,1,1,0.0320638194680214,68.8955917358398,2.66231727600098,0.0769364759325981,0.640427887439728,0.122194696050794,0.128264009952545,0.128388494253159,0.158396278055518,0.12852455675602,0.128795961188579,1,0.084093451499939,0.102206014096737,0.0928064286708832,171.163532598792,3002805.25,3558545.75,3445108.75,3469891,3475673.5,0.109992899000645,12988646,0.654314577579498,0.634484171867371,1
USA,United States,1957,1995.38,2731487.5,3544854.5,3575092,3568702.5,1,13400090,,0.634268164634705,0.131132528185844,0.227916747331619,-0.0426190346479416,-0.0014231709064915,0.0507247373461723,1,1,0.0322140417993069,69.2199401855469,2.67692995071411,0.0760435909032822,0.638684749603272,0.126470583445281,0.132867470383644,0.132515087723732,0.163808224440272,0.132752358913422,0.131331747647942,1,0.0850425884127617,0.105025120079517,0.0973127484321594,174.285761083962,3084886,3625145,3521625,3542951,3552227,0.113754764199257,13398979,0.661630988121033,0.640108525753021,1
USA,United States,1958,1960.95,2770922.5,3551486.75,3555499.75,3542683.75,1,13768717,,0.645918071269989,0.136235445737839,0.220331370830536,-0.0420873872935772,-0.0032816077582538,0.0428841188549995,1,1,0.0322970896959305,67.9430923461914,2.69162273406982,0.0756945759057999,0.635847270488739,0.129159682370391,0.135974049568176,0.135237395763397,0.168282286903669,0.135726630687714,0.132622332583487,1,0.0871852487325668,0.104535825550556,0.0995237976312637,177.222557191341,3117104,3629856.25,3498960.5,3516902.75,3518065.25,0.116867370903492,13767582,0.663152813911438,0.647172689437866,1
USA,United States,1959,1986.87,2897083.25,3795855,3798646,3787640.25,1,14237302,,0.63736766576767,0.127510473132133,0.237290680408478,-0.0426256619393826,-0.0034227932337671,0.0438795797526836,1,1,0.032326303422451,69.4828796386719,2.70639610290527,0.0825155302882195,0.629354357719421,0.131319745578397,0.137839332222939,0.137216985225678,0.170427822157279,0.137615710496902,0.135210964610042,1,0.0897764340043068,0.10520563274622,0.100249759852886,180.210010109064,3255465.75,3880921,3747502.5,3759648.5,3768539.25,0.12101885676384,14236033,0.68196576833725,0.665621936321259,1
USA,United States,1960,1968.41,2986483.25,3881343.75,3911440.75,3884961.5,1,14693295,,0.643924236297607,0.12480490654707,0.230339586734772,-0.0471039563417435,-0.0015273237368091,0.0495625138282776,1,1,0.0323872901499271,70.6460189819336,2.72125053405762,0.0803422704339027,0.636741757392883,0.132354312811133,0.139091417193413,0.138564929366112,0.173851140453718,0.139509379863739,0.136807896327537,1,0.0809819251298904,0.105418048799038,0.102922983467579,183.089036422961,3330536.75,3953527.75,3846675.5,3856027.5,3875059,0.12514728307724,14692825,0.685341119766235,0.664399027824402,1
USA,United States,1961,1953.61,3054369.75,3976224.25,4010320.75,3983244.5,1,15164270,,0.638721406459808,0.128083094954491,0.231433048844337,-0.0441727340221405,-0.0012917312560603,0.0472269207239151,1,1,0.0324528887867928,70.6938095092773,2.75555515289307,0.0816702097654343,0.633704721927643,0.134221704989146,0.140990719199181,0.140123531222343,0.174746266996969,0.141076028347015,0.137250270324214,1,0.0838555842638016,0.105536833405495,0.107688948512077,186.149443806863,3407679,4052991.5,3945269.5,3954515.25,3973918.5,0.129381880164146,15163884,0.691875040531158,0.670482754707336,1
USA,United States,1962,1973.51,3219734.75,4220393,4248374.5,4227136.5,1,15694402,,0.631951332092285,0.129730924963951,0.236722454428673,-0.0418459475040436,-0.0018783091800287,0.0453195534646511,1,1,0.0325563326478004,71.7677536010742,2.79029202461243,0.0868629291653633,0.629106163978577,0.135719246941773,0.142880156636238,0.142087146639824,0.177762735469716,0.142801016569138,0.139535510558168,1,0.0918623805046082,0.106318712234497,0.111493550240994,189.034547082441,3590876.25,4311590.5,4187084.75,4196393,4212671.5,0.134366244077683,15694052,0.706985890865326,0.686830520629883,1
USA,United States,1963,1961.96,3335232.75,4391906,4425009.5,4410490.5,1,16269987,,0.628615319728851,0.127589210867882,0.239581778645515,-0.0412299856543541,-0.0017928279703483,0.0472365468740463,1,1,0.0326885730028153,72.7672500610352,2.8254668712616,0.0895814746618271,0.626385748386383,0.137754141455314,0.145286336541176,0.143967717885971,0.182396506668612,0.144441649317741,0.139805690678043,1,0.093562051653862,0.106494903564453,0.110022529959679,191.774746521104,3722841.25,4490662.5,4368180,4379103,4399857,0.139888271689415,16269798,0.717501699924469,0.695705890655518,1
USA,United States,1964,1971.53,3505803.5,4629163.5,4675909.5,4666435,1,16905738,,0.627040565013886,0.124240323901176,0.240731969475746,-0.0409988015890121,-0.0014601470902562,0.0504460856318474,1,1,0.0328357592225075,74.4171905517578,2.8610851764679,0.0932398661971092,0.624378800392151,0.140319274953603,0.147975787520409,0.14631262421608,0.1866181784568,0.146609678864479,0.141122188293064,1,0.097219429910183,0.107465207576752,0.112310782074928,194.457176166286,3913807.5,4735866,4624444,4631648.5,4663895,0.145988464355469,16905626,0.728476285934448,0.704298496246338,1
USA,United States,1965,1991.91,3724816,4953008.5,4989395,4968977,1,17609040,,0.626079201698303,0.123535051941872,0.247172102332115,-0.0423949435353279,-0.0007672246429137,0.0463758036494255,1,1,0.0330672487616539,76.191047668457,2.89715242385864,0.0974207520484924,0.619359791278839,0.142377169516676,0.150063678622246,0.14869636297226,0.189019088681545,0.149307370185852,0.144549615498837,1,0.101426303386688,0.109935320913792,0.118669174611568,196.903470234311,4140645.75,5060984,4934000.5,4932693.5,4965598,0.152983844280243,17608950,0.740550637245178,0.7184277176857,1
USA,United States,1966,2000.82,3968455,5297508.5,5321868.5,5297396.5,1,18365340,,0.620535910129547,0.128597155213356,0.250888109207153,-0.0454978533089161,-0.0013088965788483,0.046785544604063,1,1,0.0334479436278343,78.5942001342773,2.92837071418762,0.0982721522450447,0.622894942760468,0.145982041916691,0.154108479619026,0.152772054076195,0.193321989668156,0.153477802872658,0.148781575932469,1,0.106008984148502,0.113340072333813,0.122400596737862,199.190680888167,4399679.5,5411833.5,5258107,5257925.5,5284562.5,0.161097094416618,18365290,0.752160251140595,0.732011437416077,1
USA,United States,1967,1977.72,4137325.75,5451778.5,5473394.5,5441638.5,1,19077536,,0.621238529682159,0.139070332050324,0.241554588079453,-0.0450611226260662,-0.001539290882647,0.044736985117197,1,1,0.0338659957051277,80.5108032226563,2.95992541313171,0.0931622013449669,0.630078673362732,0.14986750347895,0.158504784107208,0.157054290175438,0.197088210599438,0.157970800995827,0.152488735193352,1,0.109359443187714,0.11678571999073,0.129532411694527,201.371490592091,4587710,5572244.5,5398569,5402184.5,5416555.5,0.168617770075798,19077508,0.748776137828827,0.730281412601471,1
USA,United States,1968,1974.18,4382764.5,5744655.5,5752088.5,5709543.5,1,19811192,,0.626178920269013,0.141441941261292,0.238528922200203,-0.0512051619589329,-0.0000907508219825104,0.0451461672782898,1,1,0.0341968387365341,82.1303176879883,2.99181985855103,0.0922707468271256,0.634225606918335,0.155672624078124,0.16491137444973,0.16345801949501,0.205812340272007,0.164676040410995,0.158780909470612,1,0.113178074359894,0.122182406485081,0.133411794900894,203.392165397382,4843748,5862900.5,5665766.5,5667382,5672951,0.176181957125664,19811168,0.758990347385407,0.742410004138947,1
USA,United States,1969,1975.34,4516692.5,5925184,5932801,5888677,1,20540252,,0.625396192073822,0.141616940498352,0.239186391234398,-0.0515554621815681,-0.0006452542729675,0.0460011921823025,1,1,0.0344464778900147,84.0793533325195,3.02405834197998,0.0862715318799019,0.643875360488892,0.16389602546262,0.173353895545006,0.171493723988533,0.215120906997556,0.172778725624084,0.165528626045886,1,0.118720680475235,0.129795178771019,0.140301063656807,205.389552914401,5004485.5,6049152,5848988.5,5845379,5853984,0.183685138821602,20540238,0.754191875457764,0.737974107265472,1
USA,United States,1970,1930.72,4593037,5917394.5,5939246.5,5901338,1,21169220,1,0.636611223220825,0.141693130135536,0.224416449666023,-0.0533190816640854,0.0006303446134552,0.0499679073691368,1,1,0.0345594696700573,84.4425811767578,3.05664396286011,0.0805146470665932,0.64898556470871,0.172144910885696,0.182778626680374,0.180713653564453,0.230554698560076,0.18187452852726,0.173552108762672,1,0.12696984410286,0.13657009601593,0.146582931280136,207.796339,5088128,6041539.5,5857693,5857162.5,5867502,0.189834445714951,21169224,0.750749707221985,0.732205510139465,1
USA,United States,1971,1914.99,4721684,6131104.5,6134370,6094832.5,1,21907762,,0.635340631008148,0.13936223089695,0.231248468160629,-0.0546343475580215,0.0017623782623559,0.0469206422567368,1,1,0.034513458609581,84.6576461791992,3.08988523483276,0.0897592455148697,0.637648820877075,0.180755091417256,0.192494243383408,0.18988910317421,0.246012008718612,0.191120907664299,0.181161667632725,1,0.136830404400826,0.136746495962143,0.154314562678337,210.426432,5237236.5,6251324,6051745.5,6050023,6061088.5,0.196704998612404,21907770,0.763150990009308,0.745595037937164,1
USA,United States,1972,1911.75,4939778.5,6470845,6453831.5,6415617,1,22737082,,0.635249555110931,0.134712025523186,0.238646820187569,-0.0580557323992252,0.0018866267055273,0.0475607104599476,1,1,0.0344310104846954,87.0524063110352,3.12348771095276,0.0866199806332588,0.639445066452026,0.188479858619025,0.201152950525284,0.198193892836571,0.260914312037303,0.199374437332153,0.188646918136796,1,0.149178057909012,0.146331027150154,0.163136824965477,212.842573,5487803,6592075,6377442.5,6367982,6387834.5,0.204770669341087,22737082,0.7731813788414,0.756796717643738,1
USA,United States,1973,1910.32,5090884.5,6782475.5,6802089,6779697.5,1,23648198,,0.624655663967133,0.126245751976967,0.24950835108757,-0.0609952807426453,0.0015763493720442,0.05900913849473,1,1,0.0344719104468823,89.9233474731445,3.1574559211731,0.0850041657686234,0.640666723251343,0.200609148765818,0.213852822780609,0.209549739956856,0.279381670476069,0.210241839289665,0.196599511277764,1,0.168006673455238,0.156997203826904,0.178318485617638,215.006551,5688688,6912449.5,6744057.5,6727497.5,6777166.5,0.214054018259048,23648198,0.782319307327271,0.760046184062958,1
USA,United States,1974,1882.34,5083646.5,6743404,6739849,6743164,1,24424422,,0.623217761516571,0.130678609013557,0.246139243245125,-0.0745123699307442,0.0010839315364137,0.0733928754925728,1,1,0.0346197597682476,91.6357727050781,3.19179344177246,0.0756784975528717,0.64096862077713,0.221337296523088,0.235139474272728,0.229269668459892,0.300963249254917,0.229156956076622,0.211291135520501,1,0.201009407639503,0.175307258963585,0.199044302105904,217.076476,5678630,6824775,6622978.5,6691132,6718082.5,0.222247868776321,24424420,0.760355234146118,0.733301818370819,1
USA,United States,1975,1850.8,5184025.5,6669016.5,6732856,6730127.5,1,25017502,1,0.634759664535523,0.135511800646782,0.220648244023323,-0.0653100535273552,0.0031381701119244,0.0712521523237228,1,1,0.0346923656761646,90.5058212280273,3.2265043258667,0.0744871199131012,0.625560820102692,0.241232141795802,0.256031155586243,0.250250995159149,0.325352170238273,0.250352472066879,0.230072796706576,1,0.220463246107101,0.194308340549469,0.22436685860157,219.129301,5810469.5,6752869,6599970.5,6677374,6693776,0.228026628494263,25017550,0.760535001754761,0.727242588996887,1
USA,United States,1976,1846.91,5418380.5,7105882.5,7099697.5,7092451,1,25717002,,0.635746121406555,0.128218367695808,0.237929314374924,-0.0746966600418091,0.0027602044865489,0.0700427144765854,1,1,0.0346963815391064,93.3249664306641,3.24999570846558,0.0777690559625626,0.621589839458466,0.254527945589473,0.269854426383972,0.263872087001801,0.345847881878277,0.26414167881012,0.244663405562435,1,0.229896262288094,0.204849943518639,0.231477245688438,221.168758,6061521.5,7191605,6981721.5,7037154,7070002,0.235120341181755,25717052,0.774819791316986,0.748698472976685,1
USA,United States,1977,1847.02,5643349.5,7502803,7420486.5,7421639.5,1,26565646,,0.635475814342499,0.124915406107903,0.250544846057892,-0.0793743282556534,0.0022264108993113,0.0662118792533875,1,1,0.0347518920898438,96.5252380371094,3.27365803718567,0.0763758048415184,0.621596217155457,0.270123298703835,0.28620308637619,0.280551165342331,0.368004976416161,0.280507564544678,0.263397819003093,1,0.251001685857773,0.221981108188629,0.244470536708832,223.259419,6287045.5,7574924.5,7293794,7362564.5,7400170,0.244139909744263,26565692,0.779058218002319,0.757873296737671,1
USA,United States,1978,1853.67,5862215,7909702,7825286.5,7832175.5,1,27571704,,0.628599584102631,0.119878925383091,0.261419922113419,-0.0853488966822624,0.0059797610156238,0.0694706961512566,1,1,0.0348791554570198,100.492530822754,3.29749250411987,0.0749540254473686,0.622295022010803,0.288881908301416,0.305860996246338,0.300512850284576,0.394892911906439,0.300248503684998,0.285200374893436,1,0.273899614810944,0.243611305952072,0.264034628868103,225.396096,6527539.5,7985855.5,7705705.5,7770098,7820969,0.255575120449066,27571754,0.782783806324005,0.760701477527618,1
