date,year,quarter,gap_viog,gap_inv_viog,gap_bhp,gap_cf,gap_bk,gap_bw,gap_kalman,source,gap_ref
1969-04-01,1969,2,0.013849323168006578,0.006549450398637191,0.010237383457326388,0.007232214058218389,0.015106539137256902,0.005264048029546942,0.000650688740554628,FRED/CBO,0.026265787771391658
1969-07-01,1969,3,0.011168132043307466,0.005071411623134736,0.010187816027743324,0.002694458238300612,0.009882969753009618,0.0043549508118214675,0.0006093115584988595,FRED/CBO,0.023196900548477117
1969-10-01,1969,4,0.0005540471284888326,-0.0006167480895058475,-0.0012138151692848709,-0.005058624017747704,0.0021239030236905876,-0.007716670967857553,9.12211195593926e-05,FRED/CBO,0.009142309996704512
1970-01-01,1970,1,-0.00833631329313178,-0.005455657554508164,-0.009214088951113197,-0.014566225406198896,-0.006916134950364139,-0.016102588244031324,-0.00027902607877727803,FRED/CBO,-0.0010848008960024913
1970-04-01,1970,2,-0.014866529843006404,-0.008987508334058703,-0.014427999541611669,-0.02257686125348357,-0.015153808446694228,-0.021331972735232796,-0.00045037040820083973,FRED/CBO,-0.00796706094730304
1970-07-01,1970,3,-0.015163203714530837,-0.009150817210151985,-0.012099335920922272,-0.026134403105160686,-0.020143321758583355,-0.018587115292728384,-0.00029216399078713096,FRED/CBO,-0.006757127514363859
1970-10-01,1970,4,-0.026362136689098037,-0.014635904468470073,-0.029994243172614787,-0.02554231048755895,-0.02165748199997175,-0.035606599096484004,-0.000830453972202605,FRED/CBO,-0.0252295271046048
1971-01-01,1971,1,-0.01322377317433343,-0.007753138889102118,-0.010630388508621635,-0.02153435751038124,-0.01990975765762215,-0.014909749300752395,2.8316681294882073e-05,FRED/CBO,-0.006079599684211345
1971-04-01,1971,2,-0.013493345355866992,-0.007713344268998057,-0.012959211361639689,-0.018320879304436488,-0.018187930756310422,-0.015510505092244387,-4.8818942495643114e-05,FRED/CBO,-0.008426677946332006
1971-07-01,1971,3,-0.012402771413592362,-0.0071510977910929086,-0.012737209498981272,-0.016251941915912838,-0.01707900062850065,-0.013251451818382165,-0.00026053417388105515,FRED/CBO,-0.008028311611679939
1971-10-01,1971,4,-0.014752501159039255,-0.00834712605384702,-0.018536742572280218,-0.013725503207774992,-0.015404764004166793,-0.01681729621304484,-0.000773054759827474,FRED/CBO,-0.013527566475946884
1972-01-01,1972,1,-0.006196512307369062,-0.003954457339466089,-0.008558377640563108,-0.007626181444036817,-0.010434878564067773,-0.0045447619144649565,-0.0006184581808170719,FRED/CBO,-0.0032441922792809663
1972-04-01,1972,2,0.0064903219112650845,0.002674851145776813,0.005674996038328217,0.0030120677033487198,-0.0012601172299184782,0.011875023636255477,-0.0002032494002790486,FRED/CBO,0.011209845419084985
1972-07-01,1972,3,0.012181303240499375,0.005943488272787789,0.007032931524824093,0.016596980465259037,0.010726205282249879,0.015132129294780583,-0.00018877628696500892,FRED/CBO,0.012554422723468406
1972-10-01,1972,4,0.022071172415046192,0.011260202768474059,0.015886853125053335,0.029290318307760188,0.02223125096689671,0.025435452543650428,0.00023247196634201828,FRED/CBO,0.021037058033419598
1973-01-01,1973,1,0.03526161703311992,0.017989746016034758,0.0329744572464552,0.03735536427842945,0.02987689165789753,0.04338059888632806,0.0010497738114096933,FRED/CBO,0.03723921562361454
1973-04-01,1973,2,0.03831748167539928,0.019502111821301682,0.03690589151106671,0.040337683058691454,0.03273170509416801,0.047473292902081354,0.0013098008473111378,FRED/CBO,0.03949939108111522
1973-07-01,1973,3,0.030070060571590673,0.015444478655643579,0.025204966342919022,0.03917767584583132,0.03145872979085773,0.03520301385800728,0.0008985928495341966,FRED/CBO,0.025629610935965275
1973-10-01,1973,4,0.029302165224933674,0.01491212191043445,0.028628004784872374,0.033693502702336176,0.026059641642607545,0.03736851018337717,0.0010205226167556702,FRED/CBO,0.026360029990803113
1974-01-01,1974,1,0.016472969624055978,0.008648142644450019,0.014262260548278505,0.025247280235543457,0.018119910284035257,0.021152803495924744,0.00047313146114547067,FRED/CBO,0.008972055890890118
1974-04-01,1974,2,0.00888714089848186,0.004820012849634736,0.011038171004997821,0.012634486134453837,0.00634783182250942,0.015641262416115964,0.0002913012809262483,FRED/CBO,0.002617357555255495
1974-07-01,1974,3,-0.0070580687492523,-0.003056908449263318,-0.004105794210756741,-0.0028690186420874397,-0.008525311846067751,-0.0020420099331950325,-0.0003878672694561658,FRED/CBO,-0.015429317047308544
1974-10-01,1974,4,-0.019639153985535174,-0.009331106188966487,-0.013887894245323551,-0.018453750464617613,-0.023379728449658188,-0.014406196010511962,-0.0009023473330280751,FRED/CBO,-0.027669305023076518
1975-01-01,1975,1,-0.035792867383555915,-0.017016159311186385,-0.03245410795900128,-0.030030107966625863,-0.033402251775800806,-0.03539461611273431,-0.001629631498284212,FRED/CBO,-0.04797402839717613
1975-04-01,1975,2,-0.037251522545927784,-0.017406204444306184,-0.03222299485260827,-0.0336596330894281,-0.034886653160450365,-0.03724906360728397,-0.0014047951248219448,FRED/CBO,-0.048671638035431286
