date,year,month,capacity_utilization,source,download_date
2016-04-01,2016,4,74.7755,historical_input://nairu_estimates_v6.csv,2026-05-05
2016-05-01,2016,5,74.9344,historical_input://nairu_estimates_v6.csv,2026-05-05
2016-06-01,2016,6,75.2204,historical_input://nairu_estimates_v6.csv,2026-05-05
2016-07-01,2016,7,74.5191,historical_input://nairu_estimates_v6.csv,2026-05-05
2016-08-01,2016,8,77.8907,historical_input://nairu_estimates_v6.csv,2026-05-05
2016-09-01,2016,9,77.9992,historical_input://nairu_estimates_v6.csv,2026-05-05
2016-10-01,2016,10,76.473,historical_input://nairu_estimates_v6.csv,2026-05-05
2016-11-01,2016,11,77.1901,historical_input://nairu_estimates_v6.csv,2026-05-05
2016-12-01,2016,12,77.2762,historical_input://nairu_estimates_v6.csv,2026-05-05
2017-01-01,2017,1,74.7832,historical_input://nairu_estimates_v6.csv,2026-05-05
2017-02-01,2017,2,72.8432,historical_input://nairu_estimates_v6.csv,2026-05-05
2017-03-01,2017,3,76.281,historical_input://nairu_estimates_v6.csv,2026-05-05
2017-04-01,2017,4,74.1948,historical_input://nairu_estimates_v6.csv,2026-05-05
2017-05-01,2017,5,75.9303,historical_input://nairu_estimates_v6.csv,2026-05-05
2017-06-01,2017,6,75.3487,historical_input://nairu_estimates_v6.csv,2026-05-05
2017-07-01,2017,7,76.1029,historical_input://nairu_estimates_v6.csv,2026-05-05
2017-08-01,2017,8,77.6933,historical_input://nairu_estimates_v6.csv,2026-05-05
2017-09-01,2017,9,77.1495,historical_input://nairu_estimates_v6.csv,2026-05-05
2017-10-01,2017,10,78.6324,historical_input://nairu_estimates_v6.csv,2026-05-05
2017-11-01,2017,11,77.5921,historical_input://nairu_estimates_v6.csv,2026-05-05
2017-12-01,2017,12,77.4179,historical_input://nairu_estimates_v6.csv,2026-05-05
2018-01-01,2018,1,76.7465,historical_input://nairu_estimates_v6.csv,2026-05-05
2018-02-01,2018,2,75.8607,historical_input://nairu_estimates_v6.csv,2026-05-05
2018-03-01,2018,3,79.6725,historical_input://nairu_estimates_v6.csv,2026-05-05
2018-04-01,2018,4,79.5951,historical_input://nairu_estimates_v6.csv,2026-05-05
2018-05-01,2018,5,80.1885,historical_input://nairu_estimates_v6.csv,2026-05-05
2018-06-01,2018,6,79.7629,historical_input://nairu_estimates_v6.csv,2026-05-05
2018-07-01,2018,7,81.2354,historical_input://nairu_estimates_v6.csv,2026-05-05
2018-08-01,2018,8,81.4308,historical_input://nairu_estimates_v6.csv,2026-05-05
2018-09-01,2018,9,80.3318,historical_input://nairu_estimates_v6.csv,2026-05-05
2018-10-01,2018,10,81.5609,historical_input://nairu_estimates_v6.csv,2026-05-05
2018-11-01,2018,11,81.0583,historical_input://nairu_estimates_v6.csv,2026-05-05
2018-12-01,2018,12,79.6926,historical_input://nairu_estimates_v6.csv,2026-05-05
2019-01-01,2019,1,79.562,historical_input://nairu_estimates_v6.csv,2026-05-05
2019-02-01,2019,2,78.5898,historical_input://nairu_estimates_v6.csv,2026-05-05
2019-03-01,2019,3,81.8399,historical_input://nairu_estimates_v6.csv,2026-05-05
2019-04-01,2019,4,79.0695,historical_input://nairu_estimates_v6.csv,2026-05-05
2019-05-01,2019,5,80.9746,historical_input://nairu_estimates_v6.csv,2026-05-05
2019-06-01,2019,6,78.4041,historical_input://nairu_estimates_v6.csv,2026-05-05
2019-07-01,2019,7,81.2507,historical_input://nairu_estimates_v6.csv,2026-05-05
2019-08-01,2019,8,82.5111,historical_input://nairu_estimates_v6.csv,2026-05-05
2019-09-01,2019,9,81.3246,historical_input://nairu_estimates_v6.csv,2026-05-05
2019-10-01,2019,10,82.1275,historical_input://nairu_estimates_v6.csv,2026-05-05
2019-11-01,2019,11,81.7292,historical_input://nairu_estimates_v6.csv,2026-05-05
2019-12-01,2019,12,80.5184,historical_input://nairu_estimates_v6.csv,2026-05-05
2020-01-01,2020,1,79.4691,historical_input://nairu_estimates_v6.csv,2026-05-05
2020-02-01,2020,2,80.9207,historical_input://nairu_estimates_v6.csv,2026-05-05
2020-03-01,2020,3,76.496,historical_input://nairu_estimates_v6.csv,2026-05-05
2020-04-01,2020,4,56.3787,historical_input://nairu_estimates_v6.csv,2026-05-05
2020-05-01,2020,5,67.7368,historical_input://nairu_estimates_v6.csv,2026-05-05
2020-06-01,2020,6,73.6879,historical_input://nairu_estimates_v6.csv,2026-05-05
2020-07-01,2020,7,77.7018,historical_input://nairu_estimates_v6.csv,2026-05-05
2020-08-01,2020,8,78.5809,historical_input://nairu_estimates_v6.csv,2026-05-05
2020-09-01,2020,9,80.6293,historical_input://nairu_estimates_v6.csv,2026-05-05
2020-10-01,2020,10,81.82,historical_input://nairu_estimates_v6.csv,2026-05-05
2020-11-01,2020,11,80.22,historical_input://nairu_estimates_v6.csv,2026-05-05
2020-12-01,2020,12,80.33,historical_input://nairu_estimates_v6.csv,2026-05-05
2021-01-01,2021,1,78.69,historical_input://nairu_estimates_v6.csv,2026-05-05
2021-02-01,2021,2,79.94,historical_input://nairu_estimates_v6.csv,2026-05-05
2021-03-01,2021,3,82.47,historical_input://nairu_estimates_v6.csv,2026-05-05
2021-04-01,2021,4,79.29,historical_input://nairu_estimates_v6.csv,2026-05-05
2021-05-01,2021,5,68.01,historical_input://nairu_estimates_v6.csv,2026-05-05
2021-06-01,2021,6,80.42,historical_input://nairu_estimates_v6.csv,2026-05-05
2021-07-01,2021,7,81.1328,historical_input://nairu_estimates_v6.csv,2026-05-05
2021-08-01,2021,8,80.7425,historical_input://nairu_estimates_v6.csv,2026-05-05
2021-09-01,2021,9,82.1905,historical_input://nairu_estimates_v6.csv,2026-05-05
2021-10-01,2021,10,83.1,historical_input://nairu_estimates_v6.csv,2026-05-05
2021-11-01,2021,11,79.81,historical_input://nairu_estimates_v6.csv,2026-05-05
2021-12-01,2021,12,81.04,historical_input://nairu_estimates_v6.csv,2026-05-05
2022-01-01,2022,1,80.0756,historical_input://nairu_estimates_v6.csv,2026-05-05
2022-02-01,2022,2,79.3111,historical_input://nairu_estimates_v6.csv,2026-05-05
2022-03-01,2022,3,82.3982,historical_input://nairu_estimates_v6.csv,2026-05-05
2022-04-01,2022,4,80.4406,historical_input://nairu_estimates_v6.csv,2026-05-05
2022-05-01,2022,5,80.7018,historical_input://nairu_estimates_v6.csv,2026-05-05
2022-06-01,2022,6,82.8943,historical_input://nairu_estimates_v6.csv,2026-05-05
2022-07-01,2022,7,81.6767,historical_input://nairu_estimates_v6.csv,2026-05-05
2022-08-01,2022,8,81.2885,historical_input://nairu_estimates_v6.csv,2026-05-05
2022-09-01,2022,9,80.3571,historical_input://nairu_estimates_v6.csv,2026-05-05
2022-10-01,2022,10,79.346,historical_input://nairu_estimates_v6.csv,2026-05-05
2022-11-01,2022,11,77.6631,historical_input://nairu_estimates_v6.csv,2026-05-05
2022-12-01,2022,12,79.4461,historical_input://nairu_estimates_v6.csv,2026-05-05
2023-01-01,2023,1,77.1291,historical_input://nairu_estimates_v6.csv,2026-05-05
2023-02-01,2023,2,77.2546,historical_input://nairu_estimates_v6.csv,2026-05-05
2023-03-01,2023,3,79.5767,historical_input://nairu_estimates_v6.csv,2026-05-05
2023-04-01,2023,4,77.7357,historical_input://nairu_estimates_v6.csv,2026-05-05
2023-05-01,2023,5,79.1459,historical_input://nairu_estimates_v6.csv,2026-05-05
2023-06-01,2023,6,80.1256,historical_input://nairu_estimates_v6.csv,2026-05-05
2023-07-01,2023,7,77.8236,historical_input://nairu_estimates_v6.csv,2026-05-05
2023-08-01,2023,8,78.9578,historical_input://nairu_estimates_v6.csv,2026-05-05
2023-09-01,2023,9,80.8777,historical_input://nairu_estimates_v6.csv,2026-05-05
2023-10-01,2023,10,78.95,historical_input://nairu_estimates_v6.csv,2026-05-05
2023-11-01,2023,11,80.783,historical_input://nairu_estimates_v6.csv,2026-05-05
2023-12-01,2023,12,79.4476,historical_input://nairu_estimates_v6.csv,2026-05-05
2024-01-01,2024,1,78.2144,historical_input://nairu_estimates_v6.csv,2026-05-05
2024-02-01,2024,2,77.4841,historical_input://nairu_estimates_v6.csv,2026-05-05
2024-03-01,2024,3,78.7617,historical_input://nairu_estimates_v6.csv,2026-05-05
2024-04-01,2024,4,77.2443,historical_input://nairu_estimates_v6.csv,2026-05-05
2024-05-01,2024,5,77.7219,historical_input://nairu_estimates_v6.csv,2026-05-05
2024-06-01,2024,6,78.9285,historical_input://nairu_estimates_v6.csv,2026-05-05
2024-07-01,2024,7,78.6312,historical_input://nairu_estimates_v6.csv,2026-05-05
2024-08-01,2024,8,78.7408,historical_input://nairu_estimates_v6.csv,2026-05-05
2024-09-01,2024,9,78.935,historical_input://nairu_estimates_v6.csv,2026-05-05
2024-10-01,2024,10,78.2991,historical_input://nairu_estimates_v6.csv,2026-05-05
2024-11-01,2024,11,78.8353,historical_input://nairu_estimates_v6.csv,2026-05-05
2024-12-01,2024,12,76.4969,historical_input://nairu_estimates_v6.csv,2026-05-05
2025-01-01,2025,1,79.1134,historical_input://nairu_estimates_v6.csv,2026-05-05
2025-02-01,2025,2,76.9435,historical_input://nairu_estimates_v6.csv,2026-05-05
2025-03-01,2025,3,78.3818,historical_input://nairu_estimates_v6.csv,2026-05-05
2025-04-01,2025,4,79.1598,historical_input://nairu_estimates_v6.csv,2026-05-05
2025-05-01,2025,5,79.9281,historical_input://nairu_estimates_v6.csv,2026-05-05
2025-06-01,2025,6,79.8645,historical_input://nairu_estimates_v6.csv,2026-05-05
2025-07-01,2025,7,79.1201,historical_input://nairu_estimates_v6.csv,2026-05-05
2025-08-01,2025,8,80.3758,historical_input://nairu_estimates_v6.csv,2026-05-05
2025-09-01,2025,9,78.5682,historical_input://nairu_estimates_v6.csv,2026-05-05
2025-10-01,2025,10,79.8674,historical_input://nairu_estimates_v6.csv,2026-05-05
2025-11-01,2025,11,79.6794,historical_input://nairu_estimates_v6.csv,2026-05-05
2025-12-01,2025,12,77.4729,historical_input://nairu_estimates_v6.csv,2026-05-05
